chr1	x1	x2	chr2	y1	y2	color	o	e_bl	e_donut	e_h	e_v	fdr_bl	fdr_donut	fdr_h	fdr_v	num_collapsed	centroid1	centroid2	radius
10	102100000	102110000	10	102200000	102210000	0,255,255	55	22.38	26.1897	29.2145	25.3814	0.000271838236804	0.0206389996009	0.0337843012944	0.0345296190088	2	102105000	102200000	5000.0
10	102320000	102330000	10	102630000	102640000	0,255,255	69	25.5801	22.5812	26.5305	24.393	9.19695794363e-06	7.50236168721e-09	2.40222522883e-05	1.30005416975e-08	2	102320000	102635000	5000.0
10	105470000	105480000	10	105620000	105630000	0,255,255	77	29.1942	25.8993	29.8434	32.3574	3.18826306922e-08	4.69562413417e-08	1.13112567798e-07	0.000179388196202	3	105478333	105621666	7453.559925
10	106050000	106060000	10	106100000	106110000	0,255,255	65	24.928	28.6993	30.165	28.9569	0.000103825931004	0.000138013976174	0.000280648829304	0.000334787320768	1	106055000	106105000	0
10	111900000	111910000	10	111960000	111970000	0,255,255	59	29.3832	28.9004	29.9364	30.185	0.00207432124804	0.00345466827881	0.00625599386956	0.00634325804921	1	111905000	111965000	0
10	11550000	11560000	10	11780000	11790000	0,255,255	59	20.8111	16.6091	19.8247	17.5729	2.55029844194e-05	2.59967843894e-08	4.39448983297e-05	3.04142112105e-08	1	11555000	11785000	0
10	134200000	134210000	10	134250000	134260000	0,255,255	106	54.1398	51.1426	56.3937	58.4111	8.26051855157e-05	0.00015635784405	0.000314435995504	0.000242183711381	2	134205000	134260000	5000.0
10	134270000	134280000	10	134440000	134450000	0,255,255	68	30.8501	28.6441	34.4429	36.7161	1.76507735621e-05	2.10730749646e-05	0.0107128925855	0.0105652335507	3	134275000	134455000	10000.0
10	27180000	27185000	10	27640000	27645000	0,255,255	23	1.10959	1.06037	1.3077	1.39362	1.93735602488e-13	3.76098479961e-13	1.26567550721e-12	6.33306087875e-13	1	27182500	27642500	0
10	28950000	28960000	10	29270000	29280000	0,255,255	41	12.1444	13.3307	15.3455	15.3117	3.26582666079e-06	0.000410793733018	0.000676804483507	0.000592218750756	1	28955000	29275000	0
10	47020000	47025000	10	47055000	47060000	0,255,255	43	11.6014	11.8832	10.3727	13.9903	2.49966292073e-07	3.3512438995e-07	5.95736476958e-07	0.00023318006209	1	47022500	47057500	0
10	49670000	49680000	10	49720000	49730000	0,255,255	84	40.5572	42.7711	40.292	46.5824	0.000870813386909	0.00155238215012	0.00271449860686	0.00252185914196	1	49675000	49725000	0
10	49750000	49760000	10	49860000	49870000	0,255,255	63	31.0509	28.6159	33.3479	31.4064	0.0219774938657	0.000439199158223	0.0645773485151	0.0637540486607	2	49760000	49865000	5000.0
10	59940000	59950000	10	60040000	60050000	0,255,255	41	14.0126	12.7221	12.7183	15.0692	0.000560344003402	0.000410793733018	0.000676804483507	0.000592218750756	1	59945000	60045000	0
10	70990000	71000000	10	71150000	71160000	0,255,255	57	24.3471	20.7429	25.9491	23.7577	7.7195983792e-05	6.88545817276e-05	0.0148037984026	0.000176521329922	3	70998333	71148333	7453.559925
10	71190000	71200000	10	71260000	71270000	0,255,255	75	34.4854	35.3917	37.1647	44.962	0.000135622746752	0.000211581491816	0.000464189167594	0.0603594019962	2	71185000	71265000	10000.0
10	71270000	71280000	10	71390000	71400000	0,255,255	79	26.8414	24.2745	26.552	29.0679	6.94768229227e-09	4.68486620847e-13	2.52090512257e-08	3.96050244611e-08	1	71275000	71395000	0
10	72320000	72330000	10	72640000	72650000	0,255,255	52	20.7473	18.5679	20.0759	24.3596	0.00142202741576	1.2192626151e-05	0.00331027560657	0.00367658662474	2	72315000	72645000	10000.0
10	72680000	72690000	10	73030000	73040000	0,255,255	58	21.8014	21.9646	25.1274	25.7719	4.76543318446e-05	3.59746146157e-05	0.00976304119154	0.0100832020705	5	72679000	73043000	16124.5154966
10	72970000	72980000	10	73040000	73050000	0,255,255	70	33.5961	31.6587	37.8536	38.5827	0.0013840028604	0.00248509053509	0.00466224061954	0.00477797048473	1	72975000	73045000	0
10	73590000	73600000	10	73640000	73650000	0,255,255	75	26.5786	35.4073	37.64	37.789	1.39106316496e-07	0.000211581491816	0.000464189167594	0.000488769453724	1	73595000	73645000	0
10	75290000	75300000	10	75400000	75410000	0,255,255	67	21.5048	22.2396	32.9318	23.6035	6.86860669735e-08	4.33343351157e-08	0.0158633329663	6.55351256446e-08	1	75295000	75405000	0
10	79800000	79810000	10	80060000	80070000	0,255,255	42	14.2083	14.2753	18.5587	15.0284	0.00026026284817	0.000188709149893	0.0188796637324	0.000256541735216	1	79805000	80065000	0
10	80890000	80900000	10	80950000	80960000	0,255,255	78	37.6587	36.9712	37.5301	38.3389	2.91318501509e-05	4.28935550293e-05	0.000108594911933	0.000112439600411	1	80895000	80955000	0
10	81150000	81160000	10	81240000	81250000	0,255,255	63	30.9807	31.8178	37.5048	36.923	0.0219774938657	0.0388390716711	0.0645773485151	0.0637540486607	2	81145000	81245000	10000.0
10	81290000	81300000	10	81980000	81990000	0,255,255	15	0.618664	0.595995	0.761679	0.719349	1.20697581529e-05	6.44819181395e-05	4.6874186674e-05	0.000106117587909	1	81295000	81985000	0
10	82210000	82220000	10	82260000	82270000	0,255,255	79	34.5701	33.8539	32.2535	35.6382	1.74795323333e-05	2.32604671018e-05	6.21185810471e-05	6.59418990949e-05	2	82210000	82265000	5000.0
10	88460000	88470000	10	88660000	88670000	0,255,255	55	27.5667	24.6499	30.0194	28.6631	0.0120675183187	0.0206389996009	0.0337843012944	0.0345296190088	2	88460000	88665000	5000.0
10	93840000	93850000	10	94190000	94200000	0,255,255	44	15.147	16.0184	19.2824	17.2815	5.28188540519e-05	0.0031148512878	0.00649553191773	0.00483671549628	2	93840000	94195000	5000.0
10	95130000	95140000	10	95250000	95260000	0,255,255	49	24.5262	20.3087	23.8909	22.0241	0.00655998261645	0.00749787384369	0.0151436587054	0.0159456660056	2	95135000	95250000	5000.0
10	95320000	95330000	10	95420000	95430000	0,255,255	48	19.0248	21.123	23.9215	22.5924	0.000299690398305	0.0123195614522	0.0233655210888	0.0249801444901	2	95320000	95430000	7071.06781187
10	97000000	97010000	10	97120000	97130000	0,255,255	61	25.287	24.1664	28.5121	27.1797	0.000782594325493	3.96979117967e-06	0.00228371427807	0.00232709135655	1	97005000	97125000	0
10	98830000	98840000	10	98960000	98970000	0,255,255	90	38.3849	38.2006	46.8124	42.9205	1.74930115613e-08	1.79678565129e-08	0.000183257038309	0.000171914725874	1	98835000	98965000	0
1	1050000	1060000	1	1160000	1170000	0,255,255	62	23.439	24.7268	28.646	23.9149	3.01305116229e-06	0.000769462156305	0.00139782339045	5.01954242546e-06	2	1055000	1160000	5000.0
1	110035000	110040000	1	110070000	110075000	0,255,255	51	10.8338	15.8187	12.7169	18.372	1.24171534134e-11	1.18681511207e-05	7.23475728105e-08	2.89382730525e-05	1	110037500	110072500	0
1	110080000	110090000	1	110170000	110180000	0,255,255	89	44.6991	40.3158	40.8969	45.0195	9.98036795636e-05	0.000174040639117	0.000272724913468	0.000282918736693	1	110085000	110175000	0
1	110330000	110340000	1	110520000	110530000	0,255,255	81	33.4064	32.4423	40.5075	35.9705	5.38377360029e-06	7.45540223532e-06	0.0085156409898	2.32930142423e-05	2	110330000	110530000	7071.06781187
11	10430000	10440000	11	10750000	10760000	0,255,255	60	17.1847	16.5525	19.3878	24.3035	1.55976638935e-08	9.30651362741e-09	1.40559998516e-08	2.41993330308e-05	2	10430000	10755000	5000.0
1	110740000	110750000	1	110850000	110860000	0,255,255	57	22.0648	22.4021	25.8192	29.8923	7.7195983792e-05	6.88545817276e-05	0.0148037984026	0.0153879681607	2	110750000	110855000	5000.0
11	10800000	10810000	11	11040000	11050000	0,255,255	48	18.8062	15.5904	21.9687	15.5056	0.000299690398305	0.000244599349043	0.0233655210888	1.07505596785e-06	3	10811666	11041666	7453.559925
1	111170000	111180000	1	111320000	111330000	0,255,255	47	21.898	21.5112	24.1307	21.6474	0.0160584305809	0.0194924073027	0.0358331778839	0.0382408643365	2	111170000	111325000	5000.0
11	117700000	117710000	11	117810000	117820000	0,255,255	72	27.619	27.9456	35.9035	31.2488	1.12204382792e-06	1.49022673251e-06	0.00194755423012	0.00198685417472	1	117705000	117815000	0
11	120040000	120050000	11	120090000	120100000	0,255,255	96	46.3785	46.2964	54.3039	45.5738	3.12557687734e-06	4.45918161119e-06	0.0119279641198	7.15951045122e-06	1	120045000	120095000	0
11	120040000	120050000	11	120160000	120170000	0,255,255	61	20.8943	24.5783	30.1433	27.6008	6.10146159849e-06	3.96979117967e-06	0.00228371427807	0.00232709135655	2	120045000	120170000	5000.0
11	12060000	12070000	11	12300000	12310000	0,255,255	58	28.3712	18.8269	21.5856	22.187	0.0032607771247	6.54409433133e-08	9.45506469016e-05	9.77737481844e-05	1	12065000	12305000	0
11	12070000	12080000	11	12260000	12270000	0,255,255	87	38.437	36.4159	42.5671	40.3964	1.35231695119e-07	1.47851440446e-07	0.00070308884713	0.000683550947142	2	12075000	12275000	10000.0
11	123500000	123510000	11	123570000	123580000	0,255,255	54	24.6475	23.682	25.7612	23.7806	0.0178848806285	0.000470578932403	0.0484579201932	0.00119870761941	2	123515000	123575000	10000.0
